run_id,evaluator_version,prompt_version,scenario_id,stage,task_success,continuity,compliance,token_efficiency,borrower_experience,total_score,outcome,violations
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S01_cooperative_plan,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S01_cooperative_plan,resolution,1.0,0.5,1.0,1.0,0.8,0.88,deal_agreed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S01_cooperative_plan,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S02_combative_no_deal,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S02_combative_no_deal,resolution,1.0,0.5,1.0,1.0,0.8,0.88,no_deal,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S02_combative_no_deal,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,flag_for_review,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S03_evasive_settlement,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S03_evasive_settlement,resolution,1.0,0.5,1.0,1.0,0.8,0.88,deal_agreed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S03_evasive_settlement,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S04_confused_plan,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S04_confused_plan,resolution,1.0,0.5,1.0,1.0,0.8,0.88,deal_agreed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S04_confused_plan,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S05_distressed_hardship,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S05_distressed_hardship,resolution,1.0,0.5,1.0,1.0,0.8,0.88,hardship_referral,
baseline_v1_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,baseline_v1,S05_distressed_hardship,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S01_cooperative_plan,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
